Testing download, to see how recv_wnd is affected.

[10511.258407] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.258421] TCPLog: in_ack_event - cwnd=10, recv_wnd=1378, snd_wnd=45
[10511.259286] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.261353] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.264387] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.264419] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.265525] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.266926] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.266968] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.267860] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.267917] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.267944] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.267959] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.267988] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.268009] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.268876] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.268906] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.270169] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.270202] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.273866] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.273900] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.274884] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.274928] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.275632] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276164] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276747] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.276781] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.277548] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.280283] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.280315] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.281197] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.281227] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.281627] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.282261] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.283450] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.283483] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.283502] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.284140] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.286752] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.286782] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.286806] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.286819] TCPLog: in_ack_event - cwnd=10, recv_wnd=1383, snd_wnd=45
[10511.289788] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.289844] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.289858] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.290829] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.290873] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.291201] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.293840] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.293868] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.293899] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.293913] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.293927] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.293954] TCPLog: in_ack_event - cwnd=10, recv_wnd=1378, snd_wnd=45
[10511.296301] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.296332] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.297249] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.297724] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.297767] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.300529] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.300574] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.300588] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.300605] TCPLog: in_ack_event - cwnd=10, recv_wnd=1382, snd_wnd=45
[10511.302892] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.302935] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.303868] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.303913] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.304063] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.305046] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.305437] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.305966] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.306646] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.309279] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.309323] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.309336] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.310381] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.311608] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.312771] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.312815] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.312829] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.313756] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.313802] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.313815] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.314681] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.317346] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.317391] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.317404] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.317427] TCPLog: in_ack_event - cwnd=10, recv_wnd=1383, snd_wnd=45
[10511.317440] TCPLog: in_ack_event - cwnd=10, recv_wnd=1379, snd_wnd=45
[10511.318644] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.318697] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.319737] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.320085] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.321143] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.321187] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.322261] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.322293] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.323064] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.323096] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.326180] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.326225] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.327317] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.327364] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.328373] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.328417] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.328445] TCPLog: in_ack_event - cwnd=10, recv_wnd=1386, snd_wnd=45
[10511.329569] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.329613] TCPLog: in_ack_event - cwnd=10, recv_wnd=1390, snd_wnd=45
[10511.329929] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.330703] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.330736] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.331472] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.335252] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.335284] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.336417] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.336462] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.336781] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.337497] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.338353] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.340294] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.340326] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.341157] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.341188] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.341210] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.342336] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.342894] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.345541] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.345569] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.345593] TCPLog: in_ack_event - cwnd=10, recv_wnd=1387, snd_wnd=45
[10511.345662] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.345703] TCPLog: in_ack_event - cwnd=10, recv_wnd=1385, snd_wnd=45
[10511.346447] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.346477] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.347373] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.347403] TCPLog: in_ack_event - cwnd=10, recv_wnd=1389, snd_wnd=45
[10511.347419] TCPLog: in_ack_event - cwnd=10, recv_wnd=1384, snd_wnd=45
[10511.348220] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.351508] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.352349] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.353271] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.353302] TCPLog: in_ack_event - cwnd=10, recv_wnd=1388, snd_wnd=45
[10511.354322] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.354367] TCPLog: in_ack_event - cwnd=10, recv_wnd=1391, snd_wnd=45
[10511.354715] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
[10511.355330] TCPLog: in_ack_event - cwnd=10, recv_wnd=1392, snd_wnd=45
